<?xml version='1.0' encoding='UTF-8'?>
<assembly name="aglq712" module="agl" jobmode="N" type="q04" industry="std" fix_arg="0" crtid="02114" crtdt="2016-12-08 15:44:09" modid="02114" moddt="2017-01-04 17:14:44" sdver="0001" cusdt="1900-01-01 00:00:00" cusver="0000" page="1" tabver="10001" description="帳款客商各期餘額表查詢作業">
  <structure>
    <section id="global_var">
      <var id="qbe" value="edit_1"/>
      <var id="head" value="glaald(chr5),glaald_desc(chr80),glaacomp(chr10),glaacomp_desc(chr80),glaa001(chr500),glaa016(chr500),glaa020(chr500),year(num5),curr_o(chr500),show_acc(chr500),smm(num5),emm(num5),stus(chr500),curr_p(chr500),acc_p(chr500),ctype(chr500)"/>
      <var id="body" page="1" record="s_detail1" page_id="1" value="sel(chr1),glar001,glar001_desc(chr500),glar017,glar017_desc(chr500),glar009(chr10),oqm(num20_6),qm(num20_6),qm2(num20_6),qm3(num20_6),l_oqm_1(num20_6),l_qm_1(num20_6),l_qm2_1(num20_6),l_qm3_1(num20_6),l_oqm_2(num20_6),l_qm_2(num20_6),l_qm2_2(num20_6),l_qm3_2(num20_6),l_oqm_3(num20_6),l_qm_3(num20_6),l_qm2_3(num20_6),l_qm3_3(num20_6),l_oqm_4(num20_6),l_qm_4(num20_6),l_qm2_4(num20_6),l_qm3_4(num20_6),l_oqm_5(num20_6),l_qm_5(num20_6),l_qm2_5(num20_6),l_qm3_5(num20_6),l_oqm_6(num20_6),l_qm_6(num20_6),l_qm2_6(num20_6),l_qm3_6(num20_6),l_oqm_7(num20_6),l_qm_7(num20_6),l_qm2_7(num20_6),l_qm3_7(num20_6),l_oqm_8(num20_6),l_qm_8(num20_6),l_qm2_8(num20_6),l_qm3_8(num20_6),l_oqm_9(num20_6),l_qm_9(num20_6),l_qm2_9(num20_6),l_qm3_9(num20_6),l_oqm_10(num20_6),l_qm_10(num20_6),l_qm2_10(num20_6),l_qm3_10(num20_6),l_oqm_11(num20_6),l_qm_11(num20_6),l_qm2_11(num20_6),l_qm3_11(num20_6),l_oqm_12(num20_6),l_qm_12(num20_6),l_qm2_12(num20_6),l_qm3_12(num20_6),l_oqm_13(num20_6),l_qm_13(num20_6),l_qm2_13(num20_6),l_qm3_13(num20_6)"/>
    </section>
    <section id="form_field">
      <var id="head" value="glaald(glaald),glaald_desc(glaald_desc),glaacomp(glaacomp),glaacomp_desc(glaacomp_desc),glaa001(glaa001),glaa016(glaa016),glaa020(glaa020),year(year),curr_o(curr_o),show_acc(show_acc),smm(smm),emm(emm),stus(stus),curr_p(curr_p),acc_p(acc_p),ctype(ctype)"/>
      <var id="body" page="1" record="s_detail1" page_id="1" value="sel(sel),glar001(b_glar001),glar001_desc(b_glar001_desc),glar017(b_glar017),glar017_desc(b_glar017_desc),glar009(glar009),oqm(oqm),qm(qm),qm2(qm2),qm3(qm3),l_oqm_1(l_oqm_1),l_qm_1(l_qm_1),l_qm2_1(l_qm2_1),l_qm3_1(l_qm3_1),l_oqm_2(l_oqm_2),l_qm_2(l_qm_2),l_qm2_2(l_qm2_2),l_qm3_2(l_qm3_2),l_oqm_3(l_oqm_3),l_qm_3(l_qm_3),l_qm2_3(l_qm2_3),l_qm3_3(l_qm3_3),l_oqm_4(l_oqm_4),l_qm_4(l_qm_4),l_qm2_4(l_qm2_4),l_qm3_4(l_qm3_4),l_oqm_5(l_oqm_5),l_qm_5(l_qm_5),l_qm2_5(l_qm2_5),l_qm3_5(l_qm3_5),l_oqm_6(l_oqm_6),l_qm_6(l_qm_6),l_qm2_6(l_qm2_6),l_qm3_6(l_qm3_6),l_oqm_7(l_oqm_7),l_qm_7(l_qm_7),l_qm2_7(l_qm2_7),l_qm3_7(l_qm3_7),l_oqm_8(l_oqm_8),l_qm_8(l_qm_8),l_qm2_8(l_qm2_8),l_qm3_8(l_qm3_8),l_oqm_9(l_oqm_9),l_qm_9(l_qm_9),l_qm2_9(l_qm2_9),l_qm3_9(l_qm3_9),l_oqm_10(l_oqm_10),l_qm_10(l_qm_10),l_qm2_10(l_qm2_10),l_qm3_10(l_qm3_10),l_oqm_11(l_oqm_11),l_qm_11(l_qm_11),l_qm2_11(l_qm2_11),l_qm3_11(l_qm3_11),l_oqm_12(l_oqm_12),l_qm_12(l_qm_12),l_qm2_12(l_qm2_12),l_qm3_12(l_qm3_12),l_oqm_13(l_oqm_13),l_qm_13(l_qm_13),l_qm2_13(l_qm2_13),l_qm3_13(l_qm3_13)"/>
    </section>
    <section id="prog_init">
      <property id="bgjob" type="N"/>
    </section>
    <section id="menu">
      <action id="insert" type="standard"/>
      <action id="output"/>
      <action id="quickprint"/>
      <action id="query" type="standard"/>
      <action id="exchange_ld"/>
    </section>
  </structure>
  <form id="0" module="agl" filename="aglq712" method="dialog">
    <section id="construct">
      <construct id="head" field=""/>
      <construct id="body" page="1" field="glar001(b_glar001),glar017(b_glar017)"/>
    </section>
    <init id="field_set"/>
    <init id="body" page="1">
      <column id="sel"/>
      <column id="glar001">
        <after>
          <reference field="glar001_desc" ref_field="glar001" map_field="glar001" ref_sql="SELECT glacl004 FROM glacl_t WHERE glaclent=$varg_enterprise$var AND glacl001=&apos;&apos; AND glacl002=? AND glacl003=$varg_dlang$var"/>
        </after>
        <controlp form="aglt310_04" state="c"/>
      </column>
      <column id="glar001_desc"/>
      <column id="glar017">
        <after>
          <reference field="glar017_desc" ref_field="glar017" map_field="glarent,glar017" ref_sql="SELECT pmaal004 FROM pmaal_t WHERE pmaalent=$varg_enterprise$var AND pmaal001=? AND pmaal002=$varg_dlang$var"/>
        </after>
        <controlp form="q_pmaa001" state="c"/>
      </column>
      <column id="glar017_desc"/>
      <column id="glar009"/>
      <column id="oqm"/>
      <column id="qm"/>
      <column id="qm2"/>
      <column id="qm3"/>
      <column id="l_oqm_1"/>
      <column id="l_qm_1"/>
      <column id="l_qm2_1"/>
      <column id="l_qm3_1"/>
      <column id="l_oqm_2"/>
      <column id="l_qm_2"/>
      <column id="l_qm2_2"/>
      <column id="l_qm3_2"/>
      <column id="l_oqm_3"/>
      <column id="l_qm_3"/>
      <column id="l_qm2_3"/>
      <column id="l_qm3_3"/>
      <column id="l_oqm_4"/>
      <column id="l_qm_4"/>
      <column id="l_qm2_4"/>
      <column id="l_qm3_4"/>
      <column id="l_oqm_5"/>
      <column id="l_qm_5"/>
      <column id="l_qm2_5"/>
      <column id="l_qm3_5"/>
      <column id="l_oqm_6"/>
      <column id="l_qm_6"/>
      <column id="l_qm2_6"/>
      <column id="l_qm3_6"/>
      <column id="l_oqm_7"/>
      <column id="l_qm_7"/>
      <column id="l_qm2_7"/>
      <column id="l_qm3_7"/>
      <column id="l_oqm_8"/>
      <column id="l_qm_8"/>
      <column id="l_qm2_8"/>
      <column id="l_qm3_8"/>
      <column id="l_oqm_9"/>
      <column id="l_qm_9"/>
      <column id="l_qm2_9"/>
      <column id="l_qm3_9"/>
      <column id="l_oqm_10"/>
      <column id="l_qm_10"/>
      <column id="l_qm2_10"/>
      <column id="l_qm3_10"/>
      <column id="l_oqm_11"/>
      <column id="l_qm_11"/>
      <column id="l_qm2_11"/>
      <column id="l_qm3_11"/>
      <column id="l_oqm_12"/>
      <column id="l_qm_12"/>
      <column id="l_qm2_12"/>
      <column id="l_qm3_12"/>
      <column id="l_oqm_13"/>
      <column id="l_qm_13"/>
      <column id="l_qm2_13"/>
      <column id="l_qm3_13"/>
    </init>
  </form>
  <dataset/>
</assembly>

